"carid","vehicle","year","msrp","accelrate","mpg","mpgmpge","carclass","carclass_id"
77,"Aqua",2011,22850.87,9.35,50,50,"C",1
113,"Civic",2013,24360,10.2,44,44,"C",1
71,"HS 250h",2010,34753.53,11.76,35,35,"C",1
109,"Panamera S",2012,95283.85,17.54,25,25,"L",2
101,"Lexus GS450h",2012,59126.14,16.95,31,31,"M",3
126,"Regal",2013,29015,12.2,29,29,"M",3
64,"Sonata",2010,28287.66,14.7,37,37,"M",3
123,"Optima EX",2013,31950,11.36,37,37,"M",3
92,"Camry",2011,27130.82,13.89,33,33,"M",3
8,"Alphard",2003,38084.77,8.33,40.46,40.46,"MV",4
35,"Silverado 15 2WD",2007,34653.23,11.49,17,17,"PT",5
53,"Durango",2009,41033.24,8.33,21,21,"SUV",6
4,"Insight",2000,18936.41,9.52,53,53,"TS",7
